,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,county,car_count
6012,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Sligo,0
6013,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Westmeath,0
6014,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Wexford,0
6015,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Wicklow,0
6016,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Limerick,0
6017,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Waterford,0
6018,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Tipperary,0
6019,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Cork,0
6020,New Private Cars,2015,All engine capacities with respect to private cars (cc),Chrysler,All bands,Dublin,2
6022,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Carlow,34
6023,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Cavan,12
6024,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Clare,39
6025,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Donegal,44
6026,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Galway,86
6027,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Kerry,56
6028,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Kildare,85
6029,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Kilkenny,33
6030,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Laois,19
6031,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Leitrim,8
6032,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Longford,8
6033,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Louth,29
6034,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Mayo,58
6035,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Meath,53
6036,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Monaghan,5
6037,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Offaly,42
6038,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Roscommon,35
6039,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Sligo,12
6040,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Westmeath,41
6041,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Wexford,67
6042,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Wicklow,22
6043,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Limerick,43
6044,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Waterford,234
6045,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Tipperary,59
6046,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Cork,178
6047,New Private Cars,2015,All engine capacities with respect to private cars (cc),Citroen,All bands,Dublin,578
6049,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Carlow,87
6050,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Cavan,34
