"Statistic","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Galway","Number","4"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Kerry","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Kildare","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Kilkenny","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Laois","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Leitrim","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Longford","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Louth","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Mayo","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Meath","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Monaghan","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Offaly","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Roscommon","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Sligo","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Westmeath","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Wexford","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Wicklow","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Limerick","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Waterford","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Tipperary","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Cork","Number","5"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chevrolet","All bands","Dublin","Number","15"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","All licensing authorities","Number","40"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Carlow","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Cavan","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Clare","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Donegal","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Galway","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Kerry","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Kildare","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Kilkenny","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Laois","Number","0"
