Year,Statistic,Engine Capacity cc,Car Make,Emission Band,county,car_count
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Clare,39
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Donegal,44
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Galway,86
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Kerry,56
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Kildare,85
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Kilkenny,33
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Laois,19
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Leitrim,8
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Longford,8
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Louth,29
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Mayo,58
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Meath,53
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Monaghan,5
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Offaly,42
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Roscommon,35
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Sligo,12
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Westmeath,41
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Wexford,67
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Wicklow,22
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Limerick,43
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Waterford,234
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Tipperary,59
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Cork,178
2015,New Private Cars,All engine capacities with respect to private cars (cc),Citroen,All bands,Dublin,578
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Carlow,87
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Cavan,34
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Clare,105
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Donegal,96
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Galway,189
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Kerry,83
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Kildare,239
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Kilkenny,60
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Laois,73
