,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,Licensing Authority,UNIT,VALUE
13241,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Longford,Number,1.0
13242,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Louth,Number,12.0
13243,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Mayo,Number,14.0
13244,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Meath,Number,31.0
13245,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Monaghan,Number,0.0
13246,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Offaly,Number,11.0
13247,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Roscommon,Number,2.0
13248,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Sligo,Number,9.0
13249,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Westmeath,Number,18.0
13250,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Wexford,Number,26.0
13251,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Wicklow,Number,20.0
13252,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Limerick,Number,19.0
13253,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Waterford,Number,21.0
13254,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Tipperary,Number,15.0
13255,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Cork,Number,66.0
13256,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  D,Dublin,Number,387.0
13257,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,All licensing authorities,Number,670.0
13258,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Carlow,Number,2.0
13259,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Cavan,Number,3.0
13260,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Clare,Number,7.0
13261,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Donegal,Number,16.0
13262,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Galway,Number,26.0
